"","county","totalOut","totalIn","preYear","prePop","postPop"
"1","gwinnett county",45432,49311,2010,672108,675987
"2","gwinnett county",55749,60075,2011,724064,728390
"3","gwinnett county",54362,62720,2012,731315,739673
"4","gwinnett county",53372,59035,2013,739417,745080
"5","gwinnett county",44233,44808,2014,748871,749446
"6","gwinnett county",55863,58553,2015,756836,759526
"7","gwinnett county",73603,76911,2016,755292,758600
"8","gwinnett county",58178,59300,2017,756314,757436
"9","gwinnett county",55166,55890,2018,761159,761883
"10","gwinnett county",60255,59662,2019,773793,773200
"11","gwinnett county",58424,59246,2020,740012,740834
